"","01N","01R","04R","06N","06R","08N","08R","02N","02R","05N","05R","11N","11R","07N","07R","09N","09R","12N","12R","13N","13R","10N","14N","15N","15R","16N","16R","21N","21R","34N","34R","43N","43R","23N","23R","26N","26R","27N","27R"
"pyruvate",617927.2,434392.6,311987.7,211109.7,686993.5,276811.4,785271.6,506959,281300.8,168477.6,299392.8,240566.3,372152.2,402782.2,346637.3,375822.7,394866.8,464525.3,279853.3,312955.6,252702.6,534381.3,313901,294837.8,351423.2,877325,534884.2,219409.4,683268.4,229526.5,327826.8,261016,185355,446692.6,376388.4,348695.8,576514.8,447424.4,353285.5
"Alanine",3052180,4609436,1999488,3346519,2753043,3025446,3293444,4578934,2808431,2196135,3058001,2148821,3040551,3618046,2734780,2934117,3735602,3237181,2630960,2402814,3435689,2703803,2194810,1999339,2196763,2305314,2285483,2402776,1831526,1657496,1742324,2508785,1611271,2205491,2422749,2158570,2590856,2914133,2447303
"Lactate",84100000,9.4e+07,53300000,5.8e+07,86300000,64500000,1.02e+08,82900000,63900000,36800000,67500000,41600000,62900000,77100000,90900000,65800000,84400000,81800000,68700000,55600000,67200000,1.11e+08,75600000,75500000,1.08e+08,9.4e+07,1.05e+08,89200000,89600000,66500000,7.3e+07,66200000,70300000,92300000,91800000,89500000,1.22e+08,81500000,75600000
"Serine",1427889,2600092,1353723,1852113,1320256,1004180,1633538,1046345,939081.6,749861.2,1029561,1134909,797547.5,889887.3,1009901,727909.5,854165.2,2182559,1032840,1274182,2338297,893131.9,1220476,1385542,728401.7,1129315,1026495,884173.8,920233.3,946555.8,1450543,2324694,879264.2,1135874,1172592,846279.8,776390.2,1743692,1495069
"Glycerate",671315.6,592521.8,837980,618527.6,1023577,913911.8,860310.2,2663286,904376.7,1399690,756288.1,1636651,1844799,1399792,988305,1069960,1759606,1201110,925521.7,1093306,820980.8,643956.8,497217.3,407629.2,526289.5,568834.6,716562.5,361060.2,318976.8,402544.9,604605.9,383145.9,308169.9,461822.7,624806,417156.2,597487.6,490132,410264.9
"Cytosine",5996.355,6506.49,6422.615,4845.815,8263.39,6763.141,2109.031,6952.795,4725.02,5685.366,9819.439,12394.66,9380.562,3062.916,6083.51,5189.044,6806.088,2036.022,5621.064,10807.53,4527.192,6406.715,6717.507,3020.507,5211.985,13619.47,3700.253,6373.182,12008.14,3149.896,8099.356,5517.406,4568.34,9099.858,3995.829,8189.01,3292.157,3251.43,10812.01
"Proline..L.proline.",952598.9,1288513,948870.6,1571925,1279338,1390640,1280445,1423444,916676.5,933490.2,1090091,882934,987442.1,949330.1,1057256,1256183,1243153,1419076,972218.8,1347562,1349108,954363.4,1173154,722208.4,906214.1,849697.6,751382.5,1228626,1038004,626326.3,878668.7,1223826,590085.2,938816.9,725519.1,719544.2,701286.8,1215935,1124739
"Fumarate",12400000,9061623,2e+07,13100000,14800000,1.2e+07,10100000,17500000,15200000,8793755,12900000,12800000,1.3e+07,15800000,12800000,17100000,13500000,15100000,17200000,1.8e+07,22600000,1.2e+07,15400000,13300000,10700000,10500000,14100000,14800000,8635962,8207170,12200000,15700000,13200000,1e+07,9152132,12300000,11100000,1.5e+07,15400000
"KIVA",135235.3,173402.8,190787.9,171387.9,144868.5,154876.5,260679.2,154785.9,212050.4,284890.5,210997.6,239744.6,166202.7,159746.1,170273.1,163690.7,208351.4,190171.2,157526.8,142251.6,151594,163147.3,274532.9,165397.6,144647.1,223918.1,175623.2,179087.2,200470.6,177432.2,190060,167435.4,195974.6,149069.8,183342.9,140555.9,142607.8,183878.7,148394.7
"Valine",5371118,6779046,5300788,6872506,6389604,4991655,6462992,7762168,3549861,4242158,4062376,5038803,4889596,5218226,4768794,4517834,5815380,8546889,4403700,7088170,9235940,5896804,5471936,4184285,5617152,6041230,4296688,6098084,5858986,4088644,5906368,5864742,3731264,6031898,4207196,4467642,4334346,6073268,5405546
"Succinate",1.55e+08,1.38e+08,1.18e+08,1.2e+08,1.35e+08,1.3e+08,1.39e+08,1.15e+08,1.36e+08,9.4e+07,1.1e+08,74700000,89100000,1.41e+08,1.26e+08,1.47e+08,1.4e+08,1.35e+08,1.34e+08,88500000,1.39e+08,1.26e+08,1.06e+08,1.03e+08,1.49e+08,1.07e+08,1.1e+08,1.32e+08,1.39e+08,85200000,1.08e+08,96100000,1.01e+08,1.16e+08,1.18e+08,1.32e+08,1.26e+08,1.09e+08,9.4e+07
"Threonine",1300859,3750616,949105.3,1390039,1176327,1037472,1846381,983724.3,964438.7,1221615,1182807,1368376,793075.2,1007394,1287428,891712,924378.8,2162545,922209.2,1324480,1855674,1123966,991937.1,1184022,935796.8,1377491,1254722,886649.2,1170805,912799.4,1054306,2252048,684132.4,1183860,1130065,662672.2,948199,1613117,1376257
"Cysteine",14769.59,5632.543,5372.581,14935.4,14933.99,6177.814,36331.45,6267.858,6991.806,22114.96,20268.35,8701.829,7008.234,7348.909,25802.09,5832.879,9531.888,5162.188,4828.571,9736.337,6436.725,10015.17,20406.3,12171.7,26187.95,31229.48,24507.46,20614.88,71693.56,25632.65,37641.46,23474.74,53557.8,24416.33,13996.82,18480.88,26842.03,28394.61,55080.29
"Benzoic.acid",1121199,1164867,1091346,1090786,1213300,1064753,1123813,1181144,1238150,1233399,1246258,1330564,1257675,1229534,1180306,1251826,1508541,1215363,1254414,1202464,1237027,1170009,1204258,1226217,1210954,1244260,1188536,1116480,1112069,1118410,1092705,1167951,1153394,1150143,1097321,1106624,1161249,1210652,1086998
"nicotinamide",214831.6,195743.3,260762.9,286019.5,168828,233889.1,269650.2,300195.8,224713.7,227480.5,327619.5,271998.6,239007.8,232344.6,232057.4,176938.3,227113.2,272369.1,188007.6,219829.3,232058.2,154441.4,164000.1,201445,187990.4,230107.6,231199.3,134071.2,153000.8,199976.9,218065.3,213029.7,193175.4,220640.7,186458.5,203879.2,186340.5,219994.2,201381.7
"Adenosine.5.phosphosulfate",143761.7,177962.2,140519.1,156545.2,165361.2,109572.9,203027.3,188034.3,130301.7,150244.9,123444.9,135921,159104.3,131872.4,160653.4,127550.9,286337.8,179664.4,194785.6,159735.2,187371,159458.9,141497.3,161273.4,564994.4,238685.1,205198.9,146756.8,255695.2,177122.9,146620.7,157213,128671.5,135536.9,197390.4,186414.3,281388.8,162656.3,147009.3
"X3..3.Hydroxyphenyl.propanoic.acid",161521,194328.6,153865.7,181254,162869,158698.8,171619.6,186723.4,174115,173419.6,190700,216520.9,184149,159856.5,178014.6,165848.7,162699.7,183588,197778.2,179750.1,158635.7,161221.8,165500.9,182189.9,179096.7,178275.3,154580.4,169504.9,154433.5,177933.4,162910.5,193916.2,167299,162628,184683,195171.7,190169.2,174250.5,180910.4
"X3.indoxyl.sulfate",11671.7,11110.17,10034.31,9550.682,10887.54,22642.68,17432.32,8375.108,10816.73,23851.48,13215.93,15510.56,23447.42,24137.06,12637.84,11389.4,19692.31,11843.06,11434.11,27597.56,9153.971,17969.49,19957.02,23329.54,20893.46,28073.53,7149.786,27066.35,8951.266,21165.32,26003.78,21851.85,8443.029,30045.42,11333.55,12329.11,12046.68,11641.56,17169.59
"X3..hexanoyl.ADP.ribose..second.hump.",522115.2,593160.2,746020.3,797320.5,559848.8,1112119,366407.2,703529.9,1603544,821074.9,1150621,782074.7,458752.3,1142329,941791.4,2219448,1445013,1076334,377750.8,451969.4,1095825,261347.1,386470.5,663954.9,112684.2,124538.6,153277.8,285950.4,138025.5,167894.2,191585.2,383113.6,407393.4,293308.8,283651.5,212035.5,160069,232318.3,627366.6
"ADP.D.glucose",233031.3,551361.4,250703.7,218117,352779.2,272214.4,327411.3,1722772,414257.8,319157.3,328753.8,366217.8,928968.7,447534.1,423717.9,262007.4,564190.1,402530.1,340077.9,624690.1,393948.1,253456.7,218596.3,262556.2,300232,394099.5,304227.5,332977,281690.2,226328.5,452504.5,546799.2,302987.8,203834.4,313691.8,582384.9,229749.1,278812.5,233509.8
"X3..4.hydroxyphenyl.lactate..3.4.Dihydroxyhydrocinnamic.acid.",15900000,17700000,15100000,1.8e+07,20500000,13400000,19800000,16300000,10400000,10200000,11300000,12200000,15200000,13900000,14500000,11400000,15600000,22100000,13400000,1.9e+07,19600000,17500000,1.6e+07,12700000,16600000,16900000,12700000,16300000,17500000,11400000,19200000,16800000,1.1e+07,17500000,12700000,1.3e+07,12700000,18400000,16800000
"X3.Hydroxybenzoic.acid",38500000,42300000,38500000,58100000,42100000,33300000,44800000,37600000,25100000,26600000,30600000,29900000,35500000,34900000,34200000,27100000,42200000,54400000,31600000,43600000,48200000,40800000,35100000,32200000,37200000,40300000,29400000,34400000,40200000,27700000,40800000,39500000,27500000,40200000,30600000,29100000,30800000,40800000,39800000
"X4.vinylphenol.sulfate",843117.7,1691518,672073.4,890860.5,798963.2,712980.7,1103725,1115438,670790.5,455541.7,854965.4,553315.1,932088.3,786128.3,1148979,645077.2,979941.8,1089452,683972.4,957321.5,929806,1107205,915882.5,883711.9,865414.7,1168960,871906.9,838099.5,830394,638625.2,872475.8,1391156,620558.2,985925.9,731334.8,698454.9,1030021,1127561,1040960
"Adenosine",479215.2,570725.9,526785.6,517844.4,530755.3,553108.8,626352.4,903169.5,375502,584764.8,498731.4,359529.3,662064.1,642778.5,779184.4,435998.6,721074.1,1427462,742960.2,1079784,1501500,597705.7,505653.3,497653.4,848203.3,685380.9,655044.3,703938.3,772902,309467.1,891152.2,422125.3,368711.6,444998.6,523634.5,950493.5,528058.9,529131,579573.5
"X4.hydroxyphenylpyruvate",14300000,12100000,27800000,19500000,13300000,15300000,11600000,14900000,14200000,9113611,1.7e+07,14600000,12500000,1.1e+07,13700000,14700000,1.1e+07,12700000,16500000,19800000,17500000,14200000,15100000,16100000,10700000,11700000,13100000,14800000,11100000,9575643,11600000,14800000,11700000,10200000,12100000,16800000,14700000,15200000,15800000
"X5.Hydroxytryptophan",1.1e+08,82200000,1.73e+08,1.15e+08,1.37e+08,1.06e+08,91400000,1.56e+08,1.33e+08,77700000,1.15e+08,1.15e+08,1.17e+08,1.41e+08,1.14e+08,1.56e+08,1.2e+08,1.35e+08,1.57e+08,1.62e+08,2.03e+08,1.05e+08,1.37e+08,1.2e+08,99400000,91600000,1.25e+08,1.3e+08,79500000,71800000,1.09e+08,1.35e+08,1.19e+08,8.7e+07,86300000,1.07e+08,97600000,1.3e+08,1.36e+08
"Acetoacetyl.CoA",4155286,3539320,3463803,4055715,3597481,4298410,3897179,5667530,4411852,3598172,3025284,4573018,3722547,3996975,3081134,6475384,5123160,4551368,2472466,3243322,3821610,3628204,3482909,2520656,3040579,2940817,3436894,2503971,2518710,1827452,3603139,2173790,2022190,3154254,2380397,3120064,2195286,2745585,2549093
"Acetyl.phosphate",2330708,2033791,2219374,2098439,2268958,2083991,2061981,2865380,3076278,2884666,2812730,2992027,3002975,2166863,2042868,1971577,2271556,2088926,2049950,1906592,1812143,3214651,3098504,3501467,3005594,3122928,3108189,1531714,1471571,1403170,1493135,1474174,1379370,2295881,2355704,2389908,2397055,2182558,2393422
"Alpha.N.Phenylacetyl.L.glutamine",170341,296325.1,234165.5,219238.2,194995.4,177108,228121.8,403392.5,364658.1,303950,342921.4,417196,315170.6,271741.4,264869.9,186283.4,252826.1,331619.6,215965.4,215922,432572.8,245218.7,272027,292981.7,204205.2,252707.3,240253.8,194541.1,171017.4,243361.1,252132.3,237812.9,214107.8,214661.2,271056.5,240885.1,252563.4,240997.1,268202.2
"alpha.ketoglutarate",24835.2,32044.91,22201.81,22046.36,43374.18,21580,39699.56,36046.23,23487.21,23072.58,20145.48,26607.51,34321.32,40849.73,34845.5,27256.98,37476.83,22708.67,22768.76,22128.72,16733.76,45300.17,43317.94,23375.4,29387.65,38170.75,42845.87,28838.58,24606.62,31528.04,27804.04,29419.23,22451.83,27897.14,37001.16,10994.53,36676.36,35964.41,20066.44
"Aspartic.acid",614858.3,438600.1,346519.9,300286.3,348764.7,543459.6,219461.2,677730.2,526467,543134.2,289279.5,454227.9,687353.4,437792,204253.8,388240.7,300917.9,539380.2,504397.6,594062.3,332767.7,362329.3,317021.1,251931.8,617304.8,486244.2,566692.8,182374.4,231741.5,268515.2,298855.3,264762,298468.1,404378.2,433209.4,429234.6,531319.4,431379.8,386121.7
"dAMP",44800000,69600000,35700000,37400000,47900000,33200000,5.8e+07,21500000,3.5e+07,24100000,31500000,31600000,37100000,41800000,64100000,36500000,46600000,55300000,37800000,31900000,26100000,37600000,38100000,54500000,36500000,48400000,49300000,27300000,33900000,43200000,41900000,61600000,41500000,46900000,52600000,26600000,53600000,4.2e+07,5.3e+07
"Cinnamoylglycine",1405947,1710926,1671812,1505280,1681947,1165142,1954089,1493030,1117112,744719.3,1315159,723421.8,1261304,1363454,1762187,1265474,1901072,2138098,1185888,1587664,2486810,2153516,1553074,1431318,1394039,1580580,1034808,1573315,1764961,910617.8,1422057,1195537,932744.5,1466550,954414,1710285,1407146,1214706,1451455
"Arginine",48300000,4.2e+07,50600000,44100000,37800000,55700000,34200000,45200000,55800000,55200000,54100000,50400000,49700000,46900000,47200000,51700000,47600000,73100000,64100000,6.9e+07,61600000,34200000,31600000,3.7e+07,52300000,49800000,41700000,32300000,30600000,27500000,43100000,3.6e+07,31700000,32900000,41700000,46600000,41300000,35100000,37500000
"Creatine",5823754,9861184,5328598,4769110,3732698,8603375,5738430,11500000,5127126,4333956,5709856,5158730,5116284,7693876,6205982,7751744,6643422,12600000,8642879,6815378,7386786,2039932,2389218,5081602,920670.2,2034180,2389560,2641441,2091306,4274048,2755049,4095289,2712074,2048894,3498949,2276842,2621178,3428762,3035976
"X3.phenylpropionate",185680.9,186530.7,183860.8,182085,160756.9,174873.8,189371.6,165429.8,182330.8,159583,162139.7,190605.1,179560.9,193818.1,187287.8,172759.6,174269.9,185778.8,210967.2,166199.7,184010.4,173849.2,170057.3,177501,169970.4,168519.5,183944.4,170601.6,162897.5,168330.8,165054.4,140303.1,167713.5,153835.6,182530.6,176967.1,164904.6,166531.7,157071.2
"Deoxyguanosine",79587.81,98747.12,116486.8,156218,79658.88,132183.6,96099.34,98399.88,99189.65,92175,122154.6,84628.69,72847.15,56079.5,52562.56,108910.4,80409.74,82015.19,48397.8,65702.13,82708.95,92958.07,87805.84,77081.68,61399.19,83339.83,61836.61,78948.38,70099.49,53148.47,97582.55,90535.16,60150.99,92112.19,47366.86,55964.01,48477.16,84479.58,115231.3
"Guanine",79587.81,98747.12,116486.8,156218,79658.88,132183.6,96099.34,98399.88,99189.65,92175,122154.6,84628.69,72847.15,56079.5,52562.56,108910.4,80409.74,82015.19,48397.8,65702.13,82708.95,92958.07,87805.84,77081.68,61399.19,83339.83,61836.61,78948.38,70099.49,53148.47,97582.55,90535.16,60150.99,92112.19,47366.86,55964.01,48477.16,84479.58,115231.3
"X3.Hydroxyanthranilic.acid",441217.7,763882.8,253608,248526.6,139889.8,552002.8,718867.1,710877.2,819977.3,847302.7,565449.8,241043,287245.6,732553.8,675334.9,779447.8,794365.1,726767.9,523192.7,773407.9,838551.3,690793.4,521987.4,357840.6,448484.8,413989.8,648118,506563.9,363894.1,244013.4,493095.5,415803.3,461597.9,590719.8,358469.1,422994.6,345779.5,452870.8,445548.2
"ATP",29380.78,15882.96,8699.392,22870.48,16763.45,17477.84,8837.567,36229.86,20851.19,20668.3,19130.84,27560.87,19855.04,43492.22,18039.02,43553.81,25066.38,40134.09,43231.22,29669.4,62561.11,23428.6,7598.374,5813.879,26294.79,13358.76,7801.732,9983.881,10085.14,15227.71,20456.15,7548.681,7718.857,15832.69,6421.75,22784.35,17065.58,4391.935,7392.424
"CMP",11200000,7919048,11900000,8798163,9970027,7006520,8768513,6380350,7128984,5783578,7562390,6647520,6866090,5223564,8637163,5732842,8807317,12800000,7894402,8666357,9422540,8682729,8620759,9387889,8161220,8475651,7513530,7669554,9314541,5902000,9163385,7670558,7512586,8304566,7736996,9739475,9287331,7613462,9989732
"Histidine",11200000,7919048,11900000,8798163,9970027,7006520,8768513,6380350,7128984,5783578,7562390,6647520,6866090,5223564,8637163,5732842,8807317,12800000,7894402,8666357,9422540,8682729,8620759,9387889,8161220,8475651,7513530,7669554,9314541,5902000,9163385,7670558,7512586,8304566,7736996,9739475,9287331,7613462,9989732
"Phenylalanine",16400000,14600000,16500000,15900000,18300000,15100000,17700000,15500000,10800000,7782730,10700000,10800000,11700000,11600000,12400000,14300000,14300000,19200000,10200000,1.5e+07,17800000,16400000,1.4e+07,10900000,16300000,14700000,13400000,14200000,16300000,9434941,16200000,13300000,11100000,17200000,10100000,14900000,11400000,15200000,15800000
"phenyllactate..PLA.",73948.13,72150.78,87680.52,75168.82,89487.82,74962.41,75212.7,67702.57,72987.31,68774.02,69591.86,79476.46,70367.49,97269.09,108234.4,95596.96,97260.02,103117,107537.4,182775.4,96924.62,62420.81,67264.38,79015.88,60349.03,58180.45,64722.2,66063.56,63932.66,59885.71,66426.86,61090.45,61057.11,78694.12,87770.04,75195.3,89871.8,79391.11,75992.79
"Quinolinate",83182.87,78044.71,37981.22,91958.1,61924.77,94159.5,136071.1,78331.9,53518.77,50554.39,47638.42,94251.73,26188.4,50321.06,62134.38,111332.3,87539.72,61581.23,33971.86,42048.61,232234,113910,169905,63288.99,37758.11,83534.37,161841.6,93310.43,36740.07,55507.43,70579.63,102111.7,45833.66,87107.71,95575.94,23105.59,63695.46,160810.9,79656.84
"Phosphoenolpyruvate",1507691,1826892,1122382,1060660,2690879,1400014,2526237,2934803,1487724,1555424,1324047,2041085,2025327,3279270,2258045,2328740,2560817,1899971,1891222,1552212,1303605,3734985,2934479,1646678,2368743,2715504,3720075,1917145,1685313,1891421,2138582,1318777,1267058,1945303,2112838,784813.5,2285908,2270950,1083090
"X3.Methylhistidine",164549.1,124237.2,145903.6,101733.4,130411.1,108492.1,99202.59,248914.4,175581.5,132121.7,199972.5,126059.6,147817.3,194988.8,189582.2,174199.4,201154,260897.6,210899.9,173911,245981.6,117108,134628,101583.5,156596.6,130422.9,101980.2,154980,145452.4,70325.29,161872.6,104016.5,110250.1,108854.1,104158.5,244524.4,92449.03,48971.64,113278.9
"Dihydroxyacetone.phosphate",612736.5,614996.5,418875.2,634185.3,830069.2,375887.4,794528.5,507919.4,522917.8,252826.6,348802.2,472886.8,526900.4,455156.8,480589.1,624235.7,751311.3,593250.1,232039.8,241618.3,352705.2,1418008,926519.5,656297,1229452,1318407,2291152,548382.5,721373,994906.8,666368.7,558273,500709.8,462305.2,711940.3,337120.8,749294.8,1011300,347862.8
"Glycerol.3.phosphate",1.75e+08,1.08e+08,1.37e+08,1.27e+08,1.57e+08,1.47e+08,1.33e+08,1.04e+08,1.34e+08,9.3e+07,1.24e+08,1.12e+08,1.22e+08,1.29e+08,1.46e+08,1.41e+08,1.56e+08,1.59e+08,1.22e+08,1.23e+08,1.44e+08,1.25e+08,1.26e+08,1.36e+08,1.17e+08,1.02e+08,1.13e+08,1.16e+08,1.13e+08,1.03e+08,1.26e+08,1.2e+08,1.23e+08,1.62e+08,1.52e+08,1.78e+08,1.26e+08,1.29e+08,1.53e+08
"cis.Aconitate",14700000,4124745,15400000,11700000,17300000,2129294,9587589,995266.9,8246226,8098960,9643151,6479984,9249316,5344446,8636589,681741.6,8468779,4170783,7816234,8561640,5715270,1.6e+07,13900000,9615131,19100000,13400000,13400000,13200000,15800000,9293803,11900000,8669995,13300000,12600000,11100000,14300000,14800000,10900000,9513377
"Shikimate",48475.17,74836.95,39063.69,36826.32,34504.9,59239.83,50152.7,121564.4,31905.02,34228.09,43876.26,32241.05,40011.65,57236.43,53136.5,96893.81,54051.56,146957.9,66420.19,51186.89,64780.36,23100.79,23517.02,34007.94,25887.53,28990.93,29690.58,31223.98,23564.1,24750.19,25356.63,36214.79,27192.68,27869.43,25710.33,19611.3,27322.84,30490.62,23630.12
"Citrulline",112559.8,156716.4,54877.67,69503.26,95205.72,126519,162188.2,230315.8,107767.3,80208.4,44246.8,145364.4,31821.42,121462,172089,151063,100116.8,182865.7,121084,152231.2,492099.4,73107.91,112419.1,49898.54,83519.09,116218.1,111049.3,47390.72,94512.02,79919.02,138521,209467.6,67397.16,81677.41,63196.38,33112.95,29176.91,109836.4,114689.1
